Title,Size(m2),#Room,Price(TL),Date,District, Neigborhood, Address,Page Number
"ULUS SAVOY KİRALIK 190m2 3+1 ULTRA LÜKS DAİRE, Zorlu",190,3+1,149000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,8
ORTAKÖY'DE BOĞAZ MANZARALI BALKONLU GENİŞ 3+1 170M2 KİRALIK.,170,3+1,31000,18-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,8
FROM OWNER CENTER OF ISTANBUL OPPOSITE AKMERKEZ WITH FURNITURE,220,3+1,45000,18-07-2023,Etiler,NA,Etiler,8
4 LEVENT METRO DİBİNDE 2+1 EŞYALI KİRALIK OTURUMA HAZIR DAİRE!,120,2+1,25000,18-07-2023,Levent,NA,Levent,8
Eşyalı daire,90,2+1,19500,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,8
FROM OWNER CENTER OF ISTANBUL OPPOSITE AKMERKEZ WITH FURNITURE,220,3+1,45000,18-07-2023,Etiler,NA,Etiler,9
4 LEVENT METRO DİBİNDE 2+1 EŞYALI KİRALIK OTURUMA HAZIR DAİRE!,120,2+1,25000,18-07-2023,Levent,NA,Levent,9
Eşyalı daire,90,2+1,19500,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,9
"Abbasağa'da 90M2 brüt Giriş Kat Müstakil Bahçeli, Kombili, Temiz",90,2+1,20000,18-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,9
"Short Term Suitable,Special Design, Furnished, 3+1 with Balcony",136,3+1,85000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,9
"METE'dn Zorlu Karşısı,3 Cepheli,Balko­nlu,3+1,166m2 Kiralık Daire",166,3+1,49999,18-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,9
Ulus Arya Sitesinde Mobilyalı Geniş 4+1 Lüks Arakat,240,4+1,135000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,9
,,,NA,2023-07-20,,NA,,9
Beşiktaş 3+1 Harika Konum Ful Tadilatlı Kiralık Daire,130,3+1,25000,18-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,9
4.GAZETECİLER'DE MASRAFSIZ 3+1 ŞEHİR MANZARALI ARAKAT DAİRE,130,3+1,28000,18-07-2023,Levent,NA,Levent,9
ULUS'TA BOĞAZ MANZARALI TERASLI 3+1 BAHÇE KATI,200,3+1,80000,18-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,9
Turuncudan nüzhetiye caddesinde sıfır binada teraslı otoparklı,175,4+2,50000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,9
ETİLER DE 3+1 140m2 EBEVYN BANYOLU ASANSÖRLÜ ARA KAT,140,3+1,40000,18-07-2023,Etiler,NA,Etiler,9
BEŞİKTAŞ MERKEZDE KİRALIK DAİRE BOŞ 2+1 TEMİZ,75,2+1,19000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,9
ULUS ULUS KONAKLARI SİTE 3+1 EŞYALI KISA DÖNEM VEYA 18 AYA KADAR,160,3+1,45000,17-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,9
METROYA YAKIN TEK KİŞİLİK ERKEK APART,25,Stüdyo (1+0),6500,18-07-2023,Levent,NA,Levent,9
METROYA YAKIN TEK KİŞİLİK ERKEK APART,25,Stüdyo (1+0),5600,18-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,9
METROYA YAKIN TEK KİŞİLİK ERKEK APART,20,Stüdyo (1+0),4500,18-07-2023,Gayrettepe,NA,Gayrettepe,9
BEŞİKTAŞ ABBASAĞA DA KİRALIK ODA,120,3+1,6500,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,9
ORIJINAL RUM EVİ - ACIKLAMAYI LÜTFEN OKUYUNUZ,90,2+1,30000,17-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,9
"ÇIRAĞAN' DA BOĞAZ MANZARALI, YENİLENMİŞ 3+1 KİRALIK",165,3+1,39000,17-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,9
FULL YAPILI ÖZEL DAİRE,90,2+1,35000,17-07-2023,Bebek,NA,Bebek,10
*BEŞİKTAŞ EMLAK* AKARETLER LÜXS 2+1 EŞYALI DAİRE,135,2+1,28000,18-07-2023,Abbasağa,Sinanpaşa Mh.,Abbasağa Sinanpaşa Mh.,10
Ulus Kamer Sitesinde Yenilenmiş Ara Kat Daire,200,3+1,67500,19-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,10
MEHMETHAN EMLAKTAN SIFIR EŞYALI CADDE ÜZERİNDE KARANLIĞI YOK,100,2+1,23000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,10
"APLUS EMLAK'TAN BEŞİKTAŞTA KÖŞE DAİRE, ÖNÜ AÇIK AYDINLIK FERAH.",65,1+1,14000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,10
"AYCAN DAN BEŞİKTAŞ MAÇKA DA, ÇOK ÖZEL KONUMDA BALKONLU DAİRE",300,5+1,90000,17-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,10
BEŞİKTAŞ ABBASAĞA 2+1 BARBAROS BULVARI 60M²--3.KAT- BALKON,70,2+1,15000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,10
Atlas'dan Bebeköy Mac Karşısı Boğaz Manzaralı Lüx Mobilyalı Dair,160,3+1,150000,17-07-2023,Bebek,NA,Bebek,10
Atlas'dan Akmerkez Shopping Mall Across Luxury Fully Furnıshed,240,4+1,200000,17-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,10
Ortaköy Beşiktaş İstanbul 3+1 Kiralık daire,170,3+1,31500,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,10
AYCAN BEŞİKTAŞ İSKELEDE BAHCEŞEHİR ÜNÜVESTESİNE KOMŞU,60,1+1,15000,17-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,10
,,,NA,2023-07-20,,NA,,10
"AYCAN,DAN ABBASAĞA,DA BAHÇEŞEHİR KUZEY KAMPÜSÜ YAKINI KOMBİLİ",90,2+1,14000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,10
EV-SER'DEN BEŞİKTAŞ ETİLER ULUS KÖPRÜ YANI KİIRALIK DAİRE,150,3+1,33000,17-07-2023,Etiler,NA,Etiler,10
METE'den Sapphire Residence Geniş Bahçe Kullanımlı Kiralık 3+1,320,3+1,95000,17-07-2023,Levent,NA,Levent,10
Levazım Aydın Sitesi'nde eşyalı 4+1 geniş daire Zorlu Center yak,240,4+1,55000,17-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,10
ÇAĞ EMLAKTAN ORTAKÖYDE DÜZ AYAK YÜKSEK GİRİŞ YENİ BİNADA 1+1 KOM,70,1+1,20000,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,10
SARIKONAKLAR'DA 330 M2 ŞEREFİYELİ BLOKTA 5+1 3 CEPHESİ DUBLEKS,330,5+1,223890,17-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,10
'ATMACA' ORTAKÖY DEREBOYU CADDESİNDE KİRALIK 2+1 DAİRE,110,2+1,17000,19-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,10
BEŞİKTAŞ ABBASAĞA' DA MEYDANA 1 DK SIFIR BINADA EŞYALI ODALAR,90,8+1,10000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,10
USTADAN: ORTAKÖY DEREBOYU CADDESİNDE FULL MÖBLELİ BALKONLU FERAH,125,3+1,32000,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,10
"KONUT REALTY | Fulya Fikri Göze Sok. Ferah, 2+1, Mobilyalı Daire",85,2+1,25000,17-07-2023,Gayrettepe,NA,Gayrettepe,11
BEBEK'TE ŞAHANE BOĞAZ MANZARALI 2+1 / 100m2 MOBİLYALI DAİRE,100,2+1,60000,19-07-2023,Bebek,NA,Bebek,11
AKMERKEZ SHOPPİNG MALL ACROSS LUXURY FULLY FURNISHED 4+1,240,4+1,200000,17-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,11
CENK'TEN ORTAKÖY PALANGA CADDESİNDE SIFIR 2+1 BAHÇE KATI,105,2+1,28500,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,11
"BEŞİKTAŞ MERKEZ DE ,EKSİKSİZ TAM MOBİLYALI 2+1 DAİRE",85,2+1,32500,17-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,11
BEŞİKTAŞ TA 1+1 EŞYALI DAIRE B.SEHIR ÜNİ GÜNEY KAMPÜS,65,1+1,20000,17-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,11
METE'dn ETİLER BEBEKÖY KARŞISI ŞIK DÖŞENMİŞ KEYİFLİ DAİRE,160,3+1,185000,17-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,11
"Cengiz Emlak'tan Zorlu Center Yakını Mobilyalı, Balkonlu 2+1",130,2+1,32000,17-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,11
BEŞİKTAŞ YILDIZ-ABBASAĞA MAHALLESİ'NDE 2+1 90m² KİRALIK DAİRE,110,2+1,23000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,11
'ATMACA' BEŞİKTAŞ IHLAMUR DA SIFIR BİNADA 2+1 ÖN CEPHE DAİRE,100,2+1,30000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,11
ULUS NOTERLER SİTESİNDE 3+1 150 M2 HAVUZ MANZARALI,170,3+1,50000,17-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,11
"BEŞİKTAŞ'TA MERKEZİ, ARAKAT 2+1 KİRALIK DAİRE,ARTUM'DAN",85,2+1,15000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,11
Ali Obuz'dan Peker Sokakta Yenilenmiş Bahçeli Eşyalı Daire,110,2+1,40000,17-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,11
ORTAKÖY BAYAN EV APART,220,3+1,4800,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,11
Nispetiye Fecri Ebcioğlu Sokakta Eşyalı 4+1 Kiralık Daire,200,4+1,53000,17-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,11
"Genç binada kiralık daire, KAPALI OTOPARKLI, nezih konum,",60,1+1,21500,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,11
Beşiktaş Meydan Kiralık Daire 2+1 Balkonlu Ferah,80,2+1,15000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,11
ETİLERDE KİRALIK AZ KATLI BİNADA ARA KAT BAKIMLI FERAH DAİRE,150,3+1,36000,17-07-2023,Etiler,NA,Etiler,11
ETİLER YENİ BİNA'DA 6+1 KİRALIK ÇATI DUBLEKS DAİRE !,250,6+1,110000,18-07-2023,Etiler,NA,Etiler,11
ABBASAĞA PARKINA 50 MMESAFEDE FULL EŞYALI 1+1 KOMBİLİ AKILLI EV,40,1+1,16000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,11
GÜNCEL ETİLER SARIKONAKLARDA 4+1 İÇİ YENİLENMİŞ ÇATI DUBLEXİ,320,4+1,140000,19-07-2023,Etiler,NA,Etiler,12
Ulus Merkez de İyi Konum da Lüx Daire,150,3+1,45000,17-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,12
BEŞİKTAŞ MERKEZDE FULL EŞYALI 2. KAT KOMBİLİ 2+1 80M2 25000TL,85,2+1,23000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,12
BEŞİKTAŞTA GENÇ BİNADA 2+1 FULL EŞYALI PAYLAŞIMLI ODA KİRALIK,80,2+1,12500,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,12
AKATLAR BAHAR SİTESİ İÇİ BAKIMLI MANZALI 3+1 KİRALIK DAİRE,135,3+1,38000,17-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,12
Teşvikiye'de 1+1 EŞYASIZ Kiralık Daire,70,1+1,15000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,12
"ULUS SAVOY KİRALIK 160M2 DAİRE 3,5+1 zorlu center",160,3+1,140000,17-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,12
Beşiktaş Çırağan'da Kısa Dönem EŞYALI Kiralık 2+1,70,2+1,23000,17-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,12
NİSBETİYE'DE 2+1 130 M2 FULL EŞYALI KİRALIK DAİRE,130,2+1,33500,19-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,12
ÇARŞIYA ÇOK YAKIN KOMBİLİ STÜDYO BOŞ,25,Stüdyo (1+0),5250,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,12
Etiler Sarıkonaklar 330 4+1 Güzel Konumlu Çatı Dubleks.,330,4+1,130000,17-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,12
,,,NA,2023-07-20,,NA,,12
BEŞİKTAŞ'ta 2+1 KİRALIK DAİRE,100,2+1,18000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,12
Ali Obuz'dan Etiler Uçaksavar Sitesinde Bakımlı Daire,110,3+1,29000,18-07-2023,Etiler,NA,Etiler,12
BEŞİKTAŞ PLAZA AKARETLER DE 1+1 EŞYALI LÜX KİRALIK DAİRE,60,1+1,65000,17-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,12
ETİLER MERKEZİ KONUM 2+1 FULL EŞYALI KISA DÖNEM UZUN DÖNEM,75,2+1,65000,17-07-2023,Etiler,NA,Etiler,12
8.GAZETECİLERDE KİRALIK 3+1 MOBİLYALI ŞIK ARAKAT,120,3+1,40000,18-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,12
"METE'den Ortaköy Migros Arkası,64m2,1+1,Full Eşyalı,Boş",64,1+1,25000,18-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,12
WHITE GAYRİMENKULDEN YENİ BİNADA 2+1 KİRALIK,100,2+1,30000,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,12
ETİLER MaaNaa 45'te Yeni Binada Kiralık Çatı Dubleks,128,2+1,70000,17-07-2023,Etiler,NA,Etiler,12
BEBEK'TE MANZARALI BAHÇELİ DAİRE,100,2+1,25000,17-07-2023,Bebek,NA,Bebek,12
WHITE GAYRİMENKULDEN YENİ BİNADA 2+1 KİRALIK,100,2+1,30000,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,13
ETİLER MaaNaa 45'te Yeni Binada Kiralık Çatı Dubleks,128,2+1,70000,17-07-2023,Etiler,NA,Etiler,13
BEBEK'TE MANZARALI BAHÇELİ DAİRE,100,2+1,25000,17-07-2023,Bebek,NA,Bebek,13
ABBASAĞA DA DENİZ MANZARALI MASRAFSIZ TEMİZ DAİRE.,75,2+1,17000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,13
"METE'den TEK YETKİLİ!Ortaköy Sahile 100mt 72m2,1+1,BOŞ",72,1+1,20000,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,13
Gayrettepe Merkezde Mükemmel Manzaralı 3+1 Kiralık Daire,185,3+1,35000,17-07-2023,Gayrettepe,NA,Gayrettepe,13
Beşiktaş mackada sıfır lüx daire,170,3+1,50000,17-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,13
BEŞİKTAŞ MERKEZDE 2+1 ARA KAT BAKIMLI GENİŞ FERAH DAİRE,100,2+1,15000,17-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,13
LEVENT METROYA 1 DK MESAFEDE SIFIR EŞYALI LÜKS DAİRE,65,1+1,25000,17-07-2023,Levent,NA,Levent,13
"ETİLER'DE 3+1 ASANSORLU,GARAJLI DAİRE",175,3+1,32500,17-07-2023,Etiler,NA,Etiler,13
ETİLER PROF. SİT. MOBİLYALI KİRALIK,160,3+1,85000,17-07-2023,Etiler,NA,Etiler,13
ORTAKÖY KİLİSENİN ARKA TARAFINDA KİRALIK DAİRE,80,1+1,17000,17-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,13
Uçaksavar Sitesinde Yeşillikler içinde Kiralık Bahçe Katı...,100,2+1,25000,17-07-2023,Etiler,NA,Etiler,13
2.ULUS ROBERT KOLEJİ VE AKMERKEZ YAKINI 3+1 DOĞRU FİYATLI,125,3+1,28000,17-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,13
PRIVATE GAYRİMENKUL DEN BEBEK DE SİTE İÇERİSİNDE KUPON KİRALIK,185,3.5+1,170000,19-07-2023,Bebek,NA,Bebek,13
"EFOR'DAN,GENÇ BİNADA,EŞYALI,ÇİFT CEPHELİ,ÇİFT BALKONLU,ARA KAT..",85,2+1,23000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,13
Beşiktaş'ta Prestijli Konumda 2+1 Kiralık Daire,97,2+1,28000,17-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,13
GAYRETTEPE MERKEZDE EŞYALI 2+1 KİRALIK DAİRE,90,2+1,23000,18-07-2023,Gayrettepe,NA,Gayrettepe,13
TEŞVİKİYE ŞAİR NEDİM CADDESİNDE 2+1 BALKONLU KİRALIK DAİRE!,150,2+1,29000,16-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,13
METROYA YAKIN TEK KİŞİLİK ERKEK APART,20,Stüdyo (1+0),5000,18-07-2023,Levent,NA,Levent,13
Bebek Starbucks 4dk yürüme mesafesi / İLK OTURAN SİZ OLUN,100,2+1,29500,16-07-2023,Bebek,NA,Bebek,14
ETİLERDE SİTE İÇİNDE KİRALIK 160M23+1 DAİRE,160,3+1,53500,16-07-2023,Etiler,NA,Etiler,14
"Yıldız, Saitçiftçi Hastanesine Komşu, Asansörlü, Manzaralı, 1+1",70,1+1,15000,16-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,14
METE'den Ulus Savoy Sitesi Güncel 165m2 Kiralık Ara Kat Daire,165,3+1,120000,17-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,14
YENİ ULUS SİTESİNDE FULL EŞYALI-EŞYASIZ KİRALIK DAİRE,135,2+1,35500,16-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,14
BEŞİKTAŞ'TA DENİZ MANZARALI 4+2 KİRALIK DUBLEKS DAİRE,320,4+2,100000,16-07-2023,Abbasağa,Cihannüma Mh.,Abbasağa Cihannüma Mh.,14
"BEBEK EMLAK'TAN MOBİLYALI,KISA SÜRELİK BAVULUNUZU ALIN GELİN",100,2+1,55000,16-07-2023,Bebek,NA,Bebek,14
ORTAKÖY'DE 2+1 75m2 3.KAT KOMBILI BALKONLU AYDINLIK DAIRE,75,2+1,11500,16-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,14
ÇAĞ EMLAKTAN ORTAKÖYDE DÜZ AYAK YENİ BİNA 1+1+BAHCE KOMBİ DAİRE,65,1+1,25000,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,14
ETİLER'DE SİTE İÇERİSİNDE KİRALIK EŞYALI 3+2 ÇATI DUBLEKSİ,200,3+2,140000,16-07-2023,Etiler,NA,Etiler,14
"SİZE ÖZEL ETİLERDE GÜVENLİKLİ,OTOPARKLI SİTEDE 2+1",95,2+1,20000,16-07-2023,Etiler,NA,Etiler,14
Çeken emlaktan asariyede 2+1 eşyalı,75,2+1,17000,16-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,14
TURYAP MELTEM'DEN LEVAZIMDA ZORLU AVM'YE YAKIN FULL EŞYALI DAİRE,120,3+1,34000,17-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,14
Beşiktaş Modern Eşyalı 3+1 Kiralık (700),108,3+1,41490,16-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,14
Beşiktaş Modern Eşyalı 3+1 Kiralık (892),108,3+1,76990,16-07-2023,Etiler,NA,Etiler,14
Etiler Yeni Bina da Kiralık Bahçe Katı,150,3+1,75000,16-07-2023,Etiler,NA,Etiler,14
2.ULUS ÖZTOPUZ CADDESİNDE EŞYALI TERAS KULLANIMLI,150,2+1,75000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,14
Kiralık oda,25,1+1,10000,18-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,14
DEMİRTAŞ GAYRİMENKULDEN 2+1 BAHCELI ESYALI,90,2+1,18500,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,14
BEŞİKTAŞ ÇARŞI'DA MÜKEMMEL KONUM 2+1 EŞYALI DAİRE,85,2+1,27000,16-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,14
2.ULUS ÖZTOPUZ CADDESİNDE EŞYALI TERAS KULLANIMLI,150,2+1,75000,16-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,15
Kiralık oda,25,1+1,10000,18-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,15
DEMİRTAŞ GAYRİMENKULDEN 2+1 BAHCELI ESYALI,90,2+1,18500,17-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,15
BEŞİKTAŞ ÇARŞI'DA MÜKEMMEL KONUM 2+1 EŞYALI DAİRE,85,2+1,27000,16-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,15
MEYDANDA DENİZ MANZARALI ULTRA LÜX MOBİLYALI TERASLI AKILLI EV,120,1+1,34500,16-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,15
CEYLAN EMLAK'TAN 4.KAT FULL EŞYALI DAİRE,90,2+1,20000,17-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,15
Aydın Site'sinde Full Eşyalı Kiralık daire,220,4+1,55000,16-07-2023,Levazım,Levazım Mh.,Levazım Levazım Mh.,15
,,,NA,2023-07-20,,NA,,15
İSTANBUL MERKEZİNDE KİRALANABİLİR 1+1 2+1 DAİRE,78,1+1,28500,16-07-2023,Gayrettepe,NA,Gayrettepe,15
"3+1 ETİLER AKAT ZEYTİNOGLU CAD ÜSTÜ 160 m2 ASANSÖRLÜ,OTOPARKLI",160,3+1,55000,16-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,15
"TEK YETKİLİ ÇAMLIK'da 2,5+1 ULTRA LUX DİZAYN BOĞAZ & DOĞA MANZ.",200,2.5+1,140000,17-07-2023,Etiler,NA,Etiler,15
Bebeköy Yanı Manzaralı Teraslı 4+1 Mobilyalı Lüx Daire,220,4+1,85000,17-07-2023,Bebek,NA,Bebek,15
ETİLER SARIKONAKLAR SİTESİNDE 210M2 FERAH ARA KAT,210,4+1,140000,16-07-2023,Etiler,NA,Etiler,15
1+1 Eşyalı Kiralık / One bedroom furnished apartment,70,1+1,26000,18-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,15
ABBASAĞA PARKINA 50 M MESAFEDE FULL EŞYALI 1+1 KOMBİLİ AKILL EV,40,1+1,15000,17-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,15
ETİLER KİRALIK FULL MOBİLYALI 2+1 ALKENT KARŞISI FERAH,100,2+1,40000,16-07-2023,Etiler,NA,Etiler,15
HÜSREV GEREDE CADDESİNDE GENÇ BİNADA LÜX EŞYALI KİRALIK DAİRE,160,3+1,80000,16-07-2023,Türkali,Vişnezade Mh.,Türkali Vişnezade Mh.,15
AKMERKEZE KOMŞU ÖNÜ AÇIK YENİLENMİŞ EŞYALI KİRALIK DAİRE,140,2.5+1,65000,16-07-2023,Etiler,NA,Etiler,15
Çırağan Caddesinde Boğaz Manzaralı Full Eşyalı Kiralık Daire,110,2+1,39000,16-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,15
YENİ ULUS SİTESİNDE EN İYİ KONUMDA BOŞ KİRALIK 4+1 DAİRE,230,4+1,80000,16-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,15
Beşiktaş Muradiye'de masrafsız kiralık daire,130,3+1,25000,16-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,15
Dikilitaş büyükhanlı residences karşısı 130m2 3+1 otoparklı,130,3+1,27000,16-07-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,16
ABİSOM'DAN KİŞİYE ÖZEL FATURALAR DAHİL SUİT ODA,20,Stüdyo (1+0),7000,16-07-2023,Abbasağa,Abbasağa Mh.,Abbasağa Abbasağa Mh.,16
AKATLAR BAHAR SİTESİNDE 3+1 110 m² ŞİŞLİ TERAKKİYE ÇOK YAKIN,125,3+1,25000,16-07-2023,Akatlar,Akat Mah.,Akatlar Akat Mah.,16
49 REALTY'DEN ULUS'DA BOĞAZ MANZARALI 3.5+1 300M2 KİRALIK DAİRE,300,3.5+1,150000,17-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,16
ARNAVUTKÖY DE BOĞAZ MANZARALI KİRALIK DAİRE,85,1+1,35000,18-07-2023,Arnavutköy,Arnavutköy Mh.,Arnavutköy Arnavutköy Mh.,16
BEŞİKTAŞ ÇIRAĞANDA FULL BOĞAZ MANZARALI EŞYALI DUBLEKS DAİRE...,200,2+2,60000,16-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,16
AKMERKEZ-METRO YÜRÜME ULUSDA FUL TADİLATLI 2+1 GİRİŞ 60m KİRALIK,65,2+1,19000,16-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,16
BEŞİKTAŞ GAYRETTEPE 180M2 SIFIR YENİLENMİŞ 3.5+1 KİRALIK DAİRE,180,3.5+1,37500,16-07-2023,Gayrettepe,NA,Gayrettepe,16
Beşiktaş teşvikiye'ye yakın 4+1çift cepheli asansörlü,170,4+1,35000,16-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,16
ORTAKÖY' DE MASRAFSIZ KULLANIMA HAZIR. AİLE APT.KİRALIK DAİRE,75,2+1,20000,16-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,16
"ORTAKÖY'DE, EŞYALI KİRALIK 2+1 DAİRE",100,2+1,23000,16-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,16
Kw Gurbet | Ortaköy Yeni Binada Bahçe Katı Kiralık 1+1 Daire,95,1+1,21000,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,16
EŞYALI TERASLI YENİ BİNADA ÖZEL DAİRE SAHILE YAKIN SÜPER KONUMDA,60,Stüdyo (1+0),18000,15-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,16
